City,Address,Reviews,Nightly Rate (Main Price),Room Type,Accommodates,Bedrooms,Beds,Property Type,Bathrooms,Check In,Check Out,Kitchen,Internet,TV,Essentials,Shampoo,Heating,Air Conditioning,Washer,Dryer,Free Parking on Premises,Wireless Internet,Cable TV,Breakfast,Pets Allowed,Family/Kid Friendly,Suitable for Events,Smoking Allowed,Wheelchair Accessible,Elevator in Building,Indoor Fireplace,Buzzer/Wireless Intercom,Doorman,Pool,Hot Tub,Gym,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Extra People,Cleaning Fee,Security Deposit,Weekly Price,Monthly Price,Cancellation,Minimum Stay
"Westwood, Los Angeles, CA","Quiet, Comfortable Westwood Condo",14,$90,Private room,2,1,1,Apartment,1,3:00 PM,11:00 AM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,$20 / night after the first guest, , ,,,Moderate,1 night
"Westwood, Los Angeles, CA",2. Bed Next to UCLA 2 of 6/Veteran,4,$49,Shared room,2,1,6,Apartment,1, , ,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,$39 / night after the first guest, , ,,,Strict,1 night
"Westwood, Los Angeles, CA","1 bedroom 1 bathroom in Westwood,CA",14,$80,Private room,2,1,1,Apartment,1, , ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,$15 / night after the first guest,$20, ,$600,$2400,Moderate,1 night
"Westwood, Los Angeles, CA",Lovely Retreat CenturyCity/BevHills,73,$115,Entire home/apt,2,1,1,Apartment,1, ,3:00 PM,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,$30, ,$755,$2889,Strict,2 nights
"Westwood, Los Angeles, CA",L.A. Living!  Modern Ultra Hip Home,4,$325,Entire home/apt,5,2,2,Apartment,2.5,3:00 PM,11:00 AM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,$35 / night after 4 guests, ,$1500,$1850,$5900,Strict,3 nights
"Westwood, Los Angeles, CA",Beautiful modern apt!Great location,3,$195,Entire home/apt,2,1,1,Apartment,2, , ,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No Charge,$75,$350,$1350,$5399,Flexible,1 night
"Westwood, Los Angeles, CA",Quiet Westwood Studio close to UCLA,22,$89,Entire home/apt,3,1,1,Apartment,0,1:00 PM,11:00 AM,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,$10 / night after the first guest,$70,$500,$610,$2100,Strict,5 nights
"Westwood, Los Angeles, CA",Large Wilshire Corridor Apartment,4,$70,Private room,2,1,1,Apartment,1, , ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,$10 / night after the first guest, ,$300,,$1350,Strict,2 nights
"Westwood, Los Angeles, CA",1. Bed Next to UCLA 2 of 6/Landfair,0,$39,Shared room,6,1,1,Apartment,1, , ,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,$39 / night after the first guest, , ,,,Strict,1 night
"Westwood, Los Angeles, CA",Westwood-Private Room All Amenities,14,$89,Private room,2,1,1,Apartment,1,6:00 PM, ,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,$30 / night after the first guest,$10,$100,,,Moderate,1 night
"Westwood, Los Angeles, CA",BEAUTIFUL HIGHRISE WITH TRANQUIL MO,4,$79,Private room,2,1,1,Apartment,1, , ,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,$65 / night after the first guest, , ,$500,$1800,Flexible,1 night
"Westwood, Los Angeles, CA",Classic West LA Master Bed/Bathroom,3,$80,Private room,2,1,1,House,1, , ,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,$35 / night after the first guest, , ,,,Flexible,1 night
"Westwood, Los Angeles, CA",Large Private Room - Walk to UCLA,28,$70,Private room,2,1,1,Apartment,1,3:00 PM,12:00 PM (noon),Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,$15 / night after the first guest, ,$300,,,Strict,1 night
"Westwood, Los Angeles, CA",Academic & acupressure ashram,4,$44,Shared room,2,1,1,Apartment,2, , ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No Charge, , ,$300,$1300,Flexible,1 night
"Westwood, Los Angeles, CA",English country home in Westwood,3,$170,Entire home/apt,6,2,2,Apartment,2, , ,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,$50 / night after 4 guests,$100,$500,$1200,$4000,Strict,7 nights
"Westwood, Los Angeles, CA",Room and Separate Bath - UCLA Area,0,$135,Private room,1,1,1,House,1, , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No, ,$100,$1000,$750,$1800,Flexible,7 nights
"Westwood, Los Angeles, CA",Charming Private Westwood Studio,46,$60,Entire home/apt,2,1,1,Apartment, , , ,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge,$25, ,,,Strict,1 night
"Westwood, Los Angeles, CA",Room Available in Luxury Condo,3,$109,Private room,2,1,1,Apartment,1, , ,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,$25 / night after the first guest,$120,$200,$700,$2440,Strict,3 nights
"Westwood, Los Angeles, CA","Large Guest Room, Luxury Loft- UCLA",15,$75,Private room,3,1,2,Apartment,1, , ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,$50 / night after the first guest,$50,$200,$500,$1700,Strict,2 nights
"Westwood, Los Angeles, CA",Room in cozy place in Westwood/UCLA,0,$80,Private room,2,1,1,Apartment,1, , ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No, ,$20,$150,$500,,Moderate,2 nights
"Westwood, Los Angeles, CA",Walk to Westwood Village!,5,$116,Entire home/apt,2,1,1,Apartment,1, , ,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge,$15,$300,,,Moderate,2 nights
"Westwood, Los Angeles, CA",Guest House w/Kitchen in Westwood,10,$120,Private room,2,1,1,House,1, , ,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge,$40,$200,$865,$3000,Moderate,3 nights
"Westwood, Los Angeles, CA",Cozy Condo in the Heart of Westwood,0,$137,Entire home/apt,2,1,1,Apartment,1,12:00 AM (midnight),12:00 AM (midnight),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No Charge,$75,$1000,$941,$3014,Strict,7 nights
"Westwood, Los Angeles, CA",Stylish 1BD Westwood Apartment,5,$150,Entire home/apt,2,1,1,Apartment,1, ,12:00 PM (noon),Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge,$50,$500,,$1900,Flexible,1 night
"Westwood, Los Angeles, CA",Beverly Hills apartment,3,$229,Entire home/apt,5,2,2,Apartment,2,2:00 PM, ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,$10 / night after 4 guests,$100,$300,$1500,$6000,Strict,1 night
"Westwood, Los Angeles, CA",Private Room in a Colorful Bungalow,4,$110,Private room,2,1,1,Apartment,1, , ,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge, , ,,,Flexible,1 night
"Westwood, Los Angeles, CA",2. Bed Next to UCLA 1 of 6/Veteran,7,$49,Shared room,6,1,6,Apartment,1, , ,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,$40 / night after the first guest, , ,,,Strict,1 night
"Westwood, Los Angeles, CA",Private Apartment Westwood LA,0,$110,Entire home/apt,4,1,2,Apartment,1, , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$25 / night after 2 guests,$25,$250,$700,,Strict,2 nights
"Westwood, Los Angeles, CA",Across from Beautiful UCLA,11,$95,Entire home/apt,4,0,1,Apartment,1,4:00 PM,11:00 AM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,$15 / night after 2 guests,$60, ,$1200,$3600,Strict,1 night
"Westwood, Los Angeles, CA",Luxury Condo on Wilshire Corridor!,3,$168,Entire home/apt,4,1,2,Apartment,2, , ,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,$20 / night after 2 guests,$70,$450,$1100,,Strict,1 night
"Westwood, Los Angeles, CA",Westwood Chic Remodeled Penthouse,3,$220,Entire home/apt,2,1,1,Apartment,1, , ,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,$25 / night after the first guest,$100, ,$1100,$3000,Strict,4 nights
"Westwood, Los Angeles, CA",Private Studio with Pool and View!,10,$120,Entire home/apt,3,0,1,Apartment,1, , ,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No Charge, , ,$945,$2815,Moderate,1 night
"Westwood, Los Angeles, CA",Luxurious Apt @ Westwood/UCLA,0,$85,Private room,2,1,2,Apartment,1.5, , ,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No Charge, , ,$595,$2380,Flexible,1 night
"Westwood, Los Angeles, CA",Beach Cottage in Westwood,0,$120,Entire home/apt,2,0,1,Apartment,1,3:00 PM,10:00 AM,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No Charge, , ,$750,$2200,Strict,4 nights
"Westwood, Los Angeles, CA",WOW! PERFECT 5+4+POOL BY UCLA!,5,$695,Entire home/apt,12,5,5,House,4,3:00 PM,11:00 AM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,$50 / night after 4 guests,$300,$4000,,,Strict,1 night
"Westwood, Los Angeles, CA",Close to UCLA and Century City,3,$195,Entire home/apt,6,2,3,Apartment,1,4:00 PM,11:00 AM,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No Charge,$135, ,,,Strict,2 nights
"Westwood, Los Angeles, CA",1 BR w/ parking near UCLA,0,$85,Entire home/apt,1,1,1,Apartment,1, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, , , ,$450,$1450,Flexible,1 night
"Westwood, Los Angeles, CA",Walking distance to USLA.,0,$500,Entire home/apt,12,4,4,House,3,4:00 PM,11:00 AM,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No Charge,$200,$1000,,,Moderate,3 nights
"Westwood, Los Angeles, CA","3bd+Den+2br Luxury Suite,at UCLA!",0,$199,Entire home/apt,8,4,3,Apartment,2,4:00 PM,11:00 AM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,$15 / night after 4 guests,$150,$2000,$1399,$4449,Strict,5 nights
"Westwood, Los Angeles, CA",Fantastic Westwood location,0,$120,Entire home/apt,2,1,1,Apartment,1, , ,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge,$50,$150,$941,$3014,Flexible,1 night
"Westwood, Los Angeles, CA",2 Bedroom Apartment in Westwood,0,$16,Shared room,1,1,1,Apartment,1.5, , ,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes, , , ,,$500,Flexible,1 night
"Westwood, Los Angeles, CA",Lovely Apartment Living Room in BH,0,$72,Shared room,2,1,2,Apartment,1, , ,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,$20 / night after the first guest, , ,,,Flexible,1 night
"Westwood, Los Angeles, CA",Luxury HighRise Condo Beverly Hills,6,$400,Entire home/apt,6,2,2,Apartment,2, , ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No Charge,$100,$500,$2500,,Strict,2 nights
"Westwood, Los Angeles, CA",Fabulous Guest House near Westwood,0,$126,Entire home/apt,2,1,1,House,1,3:00 PM,12:00 PM (noon),Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,$150,$250,$750,$2260,Strict,3 nights
"Westwood, Los Angeles, CA",3. Beautiful Studio Next to UCLA,7,$120,Entire home/apt,5,0,1,Apartment,1, , ,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,$10 / night after the first guest, , ,,,Flexible,1 night
"Westwood, Los Angeles, CA",1. Bed Next to UCLA 1 of 6/Landfair,0,$49,Shared room,2,1,6,Apartment,1, , ,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,$40 / night after the first guest, , ,,,Flexible,1 night
"Westwood, Los Angeles, CA","Beautifully redone, bright UCLA adj",0,$195,Entire home/apt,2,1,1,Apartment,1,4:00 PM,11:00 AM,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge,$95, ,,,Strict,3 nights
"Westwood, Los Angeles, CA",Westwood Century City 2bdr 2.5ba,9,$150,Private room,2,1,1,House,1.5, , ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,$50 / night after the first guest, ,$100,$630,$2500,Flexible,3 nights
"Westwood, Los Angeles, CA",Los Angeles Mediterranean Gem,0,$312,Entire home/apt,6,3,3,House,2.5, , ,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Charge, , ,$2184,$8737,Strict,14 nights
"Westwood, Los Angeles, CA",Whimsical Studio Apt in West LA,0,$121,Entire home/apt,2,0,1,Apartment,1,2:00 PM,12:00 PM (noon),No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge, , ,,,Moderate,3 nights
"Westwood, Los Angeles, CA",Entire home/apt in Los Angeles,4,$475,Entire home/apt,6,3,4,House,2.5,10:00 AM,1:00 PM,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No Charge, ,$2000,$3000,$10000,Strict,3 nights
"Westwood, Los Angeles, CA",Westwood Village Studio Near UCLA,0,$75,Shared room,2,1,1,Apartment,1, , ,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,$20 / night after the first guest, , ,$638,$2248,Flexible,1 night
"Westwood, Los Angeles, CA",2BR Luxurious Chic Wilshire Condo,0,$240,Entire home/apt,5,2,3,Apartment,2, , ,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, , ,$1500,$1500,$5500,Strict,1 night
"Westwood, Los Angeles, CA",Luxury Condo Share... STEPS TO UCLA,0,$75,Shared room,1,1,1,Apartment,1, , ,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No, , , ,$800,,Strict,1 night
"Westwood, Los Angeles, CA",Westwood Village Large 1BR 1BA,0,$200,Entire home/apt,3,1,1,Apartment,1, , ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,$50 / night after 2 guests,$150, ,$1200,$4000,Strict,21 nights
"Westwood, Los Angeles, CA",Extremely luxuriously furnished HUG,0,$100,Private room,1,1,1,Apartment,2,12:00 PM (noon), ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,$100,$100,,$1850,Flexible,4 nights
"Westwood, Los Angeles, CA",Beautiful Apartment Next to UCLA,0,$75,Private room,2,1,2,Apartment,1, , ,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No Charge, , ,$800,$1600,Flexible,1 night
"Westwood, Los Angeles, CA",private guest bedroom,0,$100,Private room,2,1,1,Apartment,1, , ,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Charge,$50, ,,,Flexible,1 night
"Westwood, Los Angeles, CA",private room in Westwood (Bel air),10,$80,Private room,2,1,1,Apartment,1, , ,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No, ,$10, ,$670,,Moderate,1 night
"Westwood, Los Angeles, CA",Westwood one bedroom apartment,0,$79,Entire home/apt,1,1,1,Apartment,1, , ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No, , , ,$450,,Flexible,1 night
"Westwood, Los Angeles, CA",1 private room for rent!,0,$50,Private room,1,1,1,Apartment,0, , ,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, , , ,,,Strict,1 night
"Westwood, Los Angeles, CA",Furnished 2 bed/2 bath walk to UCLA,0,$180,Entire home/apt,4,2,4,Apartment,2, , ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No Charge,$50, ,$1100,,Flexible,3 nights
"Westwood, Los Angeles, CA",Beautiful Zen like Home great price,8,$126,Entire home/apt,4,1,1,Apartment,1,12:00 PM (noon),12:00 PM (noon),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,$20 / night after 2 guests,$100,$500,$800,$2346,Strict,3 nights
"Westwood, Los Angeles, CA",Large 2 Bedroom,0,$146,Entire home/apt,4,2,4,Apartment,2, , ,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge, , ,$1000,,Flexible,1 night
"Westwood, Los Angeles, CA",Master Bedroom in Condo w/Pool!,8,$75,Private room,2,1,1,Apartment,1.5,4:00 PM,12:00 PM (noon),Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,$10 / night after the first guest,$15, ,$450,$1750,Strict,2 nights
"Westwood, Los Angeles, CA",Quality Decorated Westwood Apt 2BR,0,$255,Entire home/apt,5,2,2,Apartment,1, , ,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge,$150, ,,,Flexible,1 night
