SN,Suburb,Category,Business Name,Address,Latitude,Longitude,Short Description,Contact Phone,Contact Email,Website,Rating,Reviews
49,"Coober Pedy, SA",restaurants,Coober Pedy Hospital  Health Services Inc,"Hospital Rd, Coober Pedy SA 5723",-29.00154768,134.7621851,,,,,0,0
50,"Oodnadatta, SA",restaurants,Oodnadatta Health Services,Oodnadatta SA 5734,-27.549521,135.447608,,,,,0,0
51,"Elizabeth Vale, SA",restaurants,Lyell McEwin Hospital,"Haydown Rd, Elizabeth Vale SA 5112",-34.747623,138.666237,,,,,0,0
52,"Bedford Park, SA",restaurants,Flinders Cardiac,"Level 6, Suite 606 Flinders Private Hospital, Bedford Park SA 5042",-37.822198,144.954855,,,,,0,0
53,"Kapunda, SA",restaurants,Kapunda Hospital,"Nash St, Kapunda SA 5373",-34.33362717,138.9240464,,,,,0,0
54,"Laura, SA",restaurants,Laura Hospital,"Mill St, Laura SA 5480",-33.17740553,138.2993572,,,,,0,0
55,"Waikerie, SA",restaurants,Waikerie Hospital  Health Services Incorporated,"Lawrie Tce, Waikerie SA 5330",-34.18354903,139.9803754,,,,,0,0
56,"Kingscote, SA",restaurants,Kangaroo Island Health Service,Kingscote SA 5223,-35.652551,137.629762,,,,,0,0
57,"Eudunda, SA",restaurants,Eudunda Hospital,"40 Ward St, Eudunda SA 5374",-34.17526,139.09051,,,,,0,0
58,"Oodnadatta, SA",restaurants,Hospital  Health Service,"C/O Post Office, Oodnadatta SA 5734",-27.549521,135.447608,,,,,0,0
59,"American River, SA",restaurants,American River Health Centre,"Tangara Drv, American River SA 5221",-35.7873032,137.7657659,,,,,0,0
60,"Cleve, SA",restaurants,Eastern Eyre Health  Aged Care,"13 Main St, Cleve SA 5640",-33.70232,136.49493,,,,,0,0
61,"Roxby Downs, SA",restaurants,Roxby Downs Health Services,"Burgoyne St, Roxby Downs SA 5725",-30.56699056,136.8949683,,,,,0,0
62,"Coober Pedy, SA",restaurants,Coober Pedy Hospital Primary Health Unit,"24 Hutchison St, Coober Pedy SA 5723",-29.013817,134.754607,,,,,0,0
63,"Gladstone, SA",restaurants,Southern Flinders Health,"Fifth St, Gladstone SA 5473",-33.27040229,138.3558179,,,,,0,0
64,"Walkerville, SA",restaurants,Calvary Rehabilitation Hospital,"18 North East Rd, Walkerville SA 5081",-34.89181,138.61149,Your Road to Recovery,,SA-CRH-Reception@calvarycare.org.au,http://www.calvaryrehabsa.org.au,0,0
65,"Adelaide, SA",restaurants,St Andrews Hospital Inc,"350 South Tce, Adelaide SA 5000",-34.934918,138.61496,Medical & Surgical Excellence.,,kverity@stand.org.au,http://www.stand.org.au,5,1
66,"Glenelg South, SA",restaurants,Glenelg Community Hospital,"5 Farrell St, Glenelg South SA 5045",-34.98994,138.51216,Quality Private Hospital wioth pleasant surroundings.,,a.lehman@gchi.com.au,http://www.glenelghosp.com.au,0,0
67,"Toorak Gardens, SA",restaurants,Burnside War Memorial Hospital,"120 Kensington Rd, Toorak Gardens SA 5065",-34.927678,138.638249,A not-for-profit community-based hospital,,,http://www.burnsidehospital.asn.au,4,1
68,"Glenelg South, SA",restaurants,Glenelg Community Hospital Incorporated,"5 Farrell St, Glenelg South SA 5045",-34.98994,138.51216,Quality Private Hospital with Pleasant Surroundings.,,reception@gchi.com.au,http://www.carpenterlawyers.com.au,0,0
69,"Adelaide, SA",restaurants,Adelaide Day Surgery,"18 North Tce, Adelaide SA 5000",-34.92264,138.58887,,,,http://www.curagroup.com.au/adelaide-day-surgery,3.5,2
70,"Adelaide, SA",restaurants,Parkwynd Private Hospital,"137 East Tce, Adelaide SA 5000",-34.92867,138.614185,,,,http://www.parkwyndprivatehospital.com.au,4,1
71,"Adelaide, SA",restaurants,Calvary Wakefield Hospital,"300 Wakefield St, Adelaide SA 5000",-34.927612,138.611413,,,,http://www.calvarywakefield.org.au,4.5,4
72,"North Adelaide, SA",restaurants,The Memorial Hospital,"Sir Edwin Smith Ave, North Adelaide SA 5006",-34.91328952,138.6004758,,,,http://www.thememorialhospital.org.au,3,1
73,"Adelaide, SA",restaurants,Parkwynd Private Hospital,"137 East Tce, Adelaide SA 5000",-34.928465,138.61422,,,,http://www.parkwyndprivatehospital.com.au,4,1
74,"Adelaide, SA",restaurants,Wakefield Surgicentre,"316 Wakefield St, Adelaide SA 5000",-34.92768,138.61282,,,wkhswitchboard@calvarysa.com.au,http://www.calvary-wakefield.com.au,0,0
75,Private,restaurants,Calvary Wakefield Hospital,"316 Wakefield St, Adelaide SA 5000",-34.92768,138.61282,,,wkhswitchboard@calvarysa.com.au,http://www.calvary-wakefield.com.au,0,0
76,"Stirling, SA",restaurants,Stirling District Hospital Incorporated,"20 Milan Tce, Stirling SA 5152",-35.00742,138.71492,,,,http://www.stirlinghospital.org.au,0,0
77,"Glenelg, SA",restaurants,Glenelg Day Surgey  Specialist Centre,"4 Gordon St, Glenelg SA 5045",-34.97966,138.51807,,,,http://www.daysurgery.net,0,0
78,Private,restaurants,Griffith Rehabilitation Hospital,"4 Gordon St, Glenelg SA 5045",-34.97966,138.51807,,,,http://www.griffithrehabilitationhospital.com.au,0,0
79,"Hove, SA",restaurants,Griffith Rehabilitation Hospital,"13 Dunrobin Rd, Hove SA 5048",-35.01025,138.523861,,,,http://www.griffithrehabilitationhospital.com.au,0,0
80,"Adelaide, SA",restaurants,Wakefield Surgicentre,"316-320 Wakefield St, Adelaide SA 5000",-34.927685,138.612815,,,,http://www.calvarywakefield.org.au,0,0
81,"Eastwood, SA",restaurants,Anaster Residential Care,"47 Glen Osmond Rd, Eastwood SA 5063",-34.94275,138.62006,,,,http://www.anaster.com.au,0,0
82,"Elizabeth Vale, SA",restaurants,Calvary Central Districts Hospital,"25-37 Jarvis Rd, Elizabeth Vale SA 5112",-34.755478,138.656226,,,,http://www.calvarycentraldistricts.org.au,0,0
83,"Elizabeth Vale, SA",restaurants,Calvary Central Districts Hospital,"25- 37 Jarvis Rd, Elizabeth Vale SA 5112",-34.75481,138.65546,,,,http://www.calvarysa.com.au,0,0
84,"North Adelaide, SA",restaurants,Calvary North Adelaide Hospital,"89 Strangways Tce, North Adelaide SA 5006",-34.909828,138.588666,,,,http://www.calvarynorthadelaide.org.au,0,0
85,"Victor Harbor, SA",restaurants,Victor Harbor Private Hospital Incorporated,"Bay Rd, Victor Harbor SA 5211",-35.56009126,138.607695,,,,,0,0
86,"Magill, SA",restaurants,Kahlyn Day Centre,"40 Briant Rd, Magill SA 5072",-34.91691,138.66995,,,,,0,0
87,"Ardrossan, SA",restaurants,Ardrossan Community Hospital,"30 Fifth St, Ardrossan SA 5571",-34.4263,137.91721,,,,,0,0
88,"Bedford Park, SA",restaurants,Flinders Private Hospital,"1 Flinders Drv, Bedford Park SA 5042",-35.021258,138.567751,,,,,0,0
89,"Adelaide, SA",restaurants,Wakefield Hospital,"300 Wakefield St, Adelaide SA 5000",-34.92761,138.61141,,,,,4.5,4
90,"Parkside, SA",restaurants,Fullarton Private Hospital,"293 Fullarton Rd, Parkside SA 5063",-34.94936,138.62489,,,,,0,0
91,"Gilberton, SA",restaurants,Adelaide Clinic,"33 Park Tce, Gilberton SA 5081",-34.90647,138.61373,,,,,0,0
92,"Moonta North, SA",restaurants,Moonta Health  Aged Care Service,"Majors Rd, Moonta North SA 5558",-34.06091425,137.5885128,,,,,0,0
93,"Ashford, SA",restaurants,Ashford,"55 Anzac Hwy, Ashford SA 5035",-34.94867,138.57726,,,,,2.5,2
94,"Cumberland Park, SA",restaurants,Hamilton House Day Surgery,"470 Goodwood Rd, Cumberland Park SA 5041",-34.9749,138.5911,,,,,0,0
95,"Adelaide, SA",restaurants,Hospitals Private,"350 South Tce, Adelaide SA 5000",-34.934223,138.614914,,,,,0,0
96,"Magill, SA",restaurants,Hospitals Private,"40 Briant Rd, Magill SA 5072",-34.916912,138.669954,,,,,0,0
97,"Adelaide, SA",restaurants,St Andrews Medical Centre Chemotherapy Suite,"321 South Tce, Adelaide SA 5000",-34.934751,138.612895,,,,,0,0
98,"Walkerville, SA",restaurants,Hospitals Private,"18 North East Rd, Walkerville SA 5081",-34.89181,138.611488,,,,,0,0
99,"Magill, SA",restaurants,Kahlyn Private Hospital,"40 Briant Rd, Magill SA 5072",-34.916912,138.669954,,,,,0,0
100,"Elizabeth Vale, SA",restaurants,Northside Injury Service,"25 Jarvis Rd, Elizabeth Vale SA 5112",-34.75481,138.65546,,,,,0,0
101,"Morphett Vale, SA",restaurants,Southern Physiotherapy For Children,"60- 66 States Rd, Morphett Vale SA 5162",-35.10594,138.53587,,,,,0,0
102,"Eastwood, SA",restaurants,Adelaide Eye  Laser Centre,"215 Greenhill Rd, Eastwood SA 5063",-34.940736,138.621623,,,,,0,0
103,"Hamley Bridge, SA",restaurants,Hamley Bridge Memorial Hospital Incorporated,"19 Albert St, Hamley Bridge SA 5401",-34.358536,138.676862,,,,,0,0
104,"Eastwood, SA",restaurants,Glen Osmond Surgicentre Pty Ltd,"45 Glen Osmond Rd, Eastwood SA 5063",-34.94269,138.61977,,,,,0,0
105,"North Adelaide, SA",restaurants,Memorial Hospital,"Sir Edwin Smith Ave, North Adelaide SA 5006",-34.91306,138.600358,,,,,0,0
106,"Eastwood, SA",restaurants,Adelaide Eye  Laser Centre,"215 Greenhill Road, Eastwood SA 5063",-34.94074,138.62162,,,,,0,0
107,"Payneham, SA",restaurants,Baxter Payenham Dialysis Centre,"2 Portrush Rd, Payneham SA 5070",-34.89679,138.6392,,,,,0,0
108,"Keith, SA",restaurants,Keith  District Hospital Incorporated,"Hill Ave, Keith SA 5267",-36.096631,140.344942,,,,,0,0
109,"Henley Beach, SA",restaurants,Western Hospital,"168 Cudmore Tce, Henley Beach SA 5022",-34.91054,138.50018,,,,,0,0
110,"Modbury, SA",restaurants,Modbury Dialysis Centre,"97-99 Smart, Modbury SA 5092",-34.83335,138.69497,,,,,0,0
111,"Campbelltown, SA",restaurants,North Eastern Community Hospital Incorporated,"580 Lower North East Rd, Campbelltown SA 5074",-34.88294,138.66198,,,,,0,0
112,"Eastwood, SA",restaurants,Ashford Eye  Laser Centre,"215 Greenhill Rd, Eastwood SA 5063",-34.94074,138.62162,,,,,0,0
113,"Morphett Vale, SA",restaurants,The Vales Private Hospital,"60- 66 States Rd, Morphett Vale SA 5162",-35.10594,138.53587,,,,,0,0
114,"Parkside, SA",restaurants,Hospitals Private,"295 Fullarton Rd, Parkside SA 5063",-34.94938,138.624692,,,,,0,0
115,"North Adelaide, SA",restaurants,Mary Potter Hospice,"89 Strangways Tce, North Adelaide SA 5006",-34.90981,138.58871,,,,,0,0
116,"McLaren Vale, SA",restaurants,Hospitals Private,"Aldersey St, McLaren Vale SA 5171",-35.224311,138.544119,,,,,0,0
117,"Victor Harbor, SA",restaurants,Hospitals Private,"Bay Rd, Victor Harbor SA 5211",-35.56008,138.607689,,,,,0,0
118,"Parkside, SA",restaurants,Fullarton Private Hospital,"295 Fullarton Rd, Parkside SA 5063",-34.94938,138.624692,,,,,0,0
119,"Adelaide, SA",restaurants,Dr C P Tan,"Suite 10, 50 Hutt St, Adelaide SA 5000",-34.926815,138.61236,Hepatopancreaticbiliary & General Surgeon.,,tanchuanping@gmail.com,,0,0
120,"Aldgate, SA",restaurants,Hills Medical Service,"15 Fenchurch Rd, Aldgate SA 5154",-35.014816,138.734488,24 hour primary care service.,,hillsmed@health.on.net,http://www.hillsmedicalservice.com.au,0,0
121,"Ridgehaven, SA",restaurants,St Agnes Surgery,"1251 North East Rd, Ridgehaven SA 5097",-34.8209,138.71524,General And Preventive Care,,mail@stagnessurgery.com.au,http://www.stagnessurgery.com.au,0,0
122,"Modbury, SA",restaurants,Tea Tree Medical Centre,"975 North East Rd, Modbury SA 5092",-34.83122,138.68593,General And Preventive Care,,mail@stagnessurgery.com.au,http://www.stagnessurgery.com.au,0,0
123,"Cowell, SA",restaurants,Dr Alexander Ochnik Medical Practice,"Medical Practice, 17 South Tce, Cowell SA 5602",-33.68461,136.92171,All General Family Needs. Looked After Bulk Billing On All Services.,,aochnik@internode.on.net,,0,0
124,"Tusmore, SA",restaurants,Tusmore Ave Surgery,"103 Tusmore Ave, Tusmore SA 5065",-34.9382,138.65156,General and Preventative Care.,,,,0,0
125,"Adelaide, SA",restaurants,Wakefield Medical Centre,"Brayhouse 60 Hutt St Adelaide, Adelaide SA 5000",-34.927254,138.612361,,,,,0,0
126,"North Adelaide, SA",restaurants,Harries Richard FRACS,"Calvary Hospital Strangways Tce, North Adelaide SA 5006",-34.910107,138.588307,,,,,0,0
127,"Adelaide, SA",restaurants,Pietris George Dr,"Wakefield Hospital, Adelaide SA 5000",-34.927679,138.611099,,,,,0,0
128,"Trinity Gardens, SA",restaurants,Home Instead Senior Care,"Level 1, 204 Portrush Rd, Trinity Gardens SA 5068",-34.912963,138.64081,Enhancing the lives of ageing adults & their families across Adelaide.,,adelaideeast@homeinstead.com.au,http://zee.homeinstead.com.au/adelaideeast/,0,0
129,"Banksia Park, SA",restaurants,Adelaide Better Baskets,Banksia Park SA 5091,-34.80901,138.727607,Better Gift Ideas For Busy People.,,info@adelaidebetterbaskets.com.au,http://www.adelaidebetterbaskets.com.au,0,0
130,"Norwood, SA",restaurants,Send A Gourmet Basket,"41 Chapel St, Norwood SA 5067",-34.916325,138.625785,Quality corporate and individual gift boxes and baskets,,sendagourmetbasket@bigpond.com,http://www.sendagourmetbasket.com,3,2
131,"Parkside, SA",restaurants,Home Nurses,"257 Fullarton Rd,, Parkside SA 5063",-34.94641,138.62448,Get the care you need at home,,info@hssmail.com.au,http://www.homesupportservices.com.au,0,0
132,"Victor Harbor, SA",restaurants,NablingU Hire Of Mobility Aids  Baby Equipment,"49 Ainslie Roberts Drv, Victor Harbor SA 5211",-35.571617,138.6026,Aids for Living - Mobility Aids and Baby Hire,,enquiries@nablingu.com.au,http://www.nablingu.com,0,0
133,"Adelaide, SA",restaurants,Estilo Commercial,"26 Gray Crt, Adelaide SA 5000",-34.92296,138.58959,Quality Contract Furniture.,,sales@estilocommercial.com.au,http://www.estilocommercial.com.au,0,0
134,"Richmond, SA",restaurants,The Table  Chair Co,"133 Richmond Rd, Richmond SA 5033",-34.94193,138.56958,Creative Furniture Solutions For Commercial Environments.,,enquiries@tableandchairco.com.au,http://www.tableandchairco.com.au,0,0
135,"Melrose Park, SA",restaurants,Workspace Commercial Furniture,"54 Jose St, Melrose Park SA 5039",-34.9897,138.58048,"Suppliers To Cafe, Hotel, Apartment, Joinery, Club, Church & Office.",,awhite@workspace.com.au,http://www.workspace.com.au,0,0
136,"Adelaide, SA",restaurants,St Andrews Hospital Incorporated,"252 East Tce, Adelaide SA 5000",-34.932876,138.617199,,,,http://www.stand.org.au,0,0
137,"North Adelaide, SA",restaurants,Womens  Childrens Hospital Foundation,"55 King William Rd, North Adelaide SA 5006",-34.911006,138.598135,,,,http://www.wchfoundation.org.au,0,0
138,"Toorak Gardens, SA",restaurants,Burnside War Memorial Hospital Inc,"120 Kensington Rd, Toorak Gardens SA 5065",-34.92768,138.63822,,,,,4,1
139,"Adelaide, SA",restaurants,AUDIOLOGY DEPT  ROYAL ADE HOSPITAL,"Level 6 North Tce, Adelaide SA 5000",-34.92,138.59,,,,,0,0
140,"Clare, SA",restaurants,Clare Medical Centre,"41 Old North Rd, Clare SA 5453",-33.83262,138.61281,Comprehensive family health care centre.,,cmc@claremedical.com.au,http://www.claremedical.com.au,0,0
141,"Kent Town, SA",restaurants,Radiology SA,"79 Fullarton Rd, Kent Town SA 5067",-34.926108,138.623159,SA Owned & Operated Offering Radiologists On Site.,,radiologysa@radiologysa.com.au,http://www.radiologysa.com.au,0,0
142,"Dulwich, SA",restaurants,Dulwich Family Practice,"12 Stuart Rd, Dulwich SA 5065",-34.935298,138.632018,Professional Family Health Care In A Progressive & Caring Environment.,,dulwichfp@internode.on.net,http://www.dulwichfamilypractice.com.au,0,0
143,"Adelaide, SA",restaurants,SA Pathology,"Frome. Rd, Adelaide SA 5000",-34.91753454,138.6061626,For Our Patients And Our Population,,imvs@health.sa.gov.au,http://www.imvs.sa.gov.au,0,0
144,"North Adelaide, SA",restaurants,Denby Steele,"175 Ward St, North Adelaide SA 5006",-34.90955,138.59478,"Friendly, Flexible & Efficient, High-Quality, Professional Service.",,denby@denbysteele.com.au,http://www.denbysteele.com.au,0,0
145,"Gawler, SA",restaurants,Adelaide Road Clinic,"25 Adelaide Rd, Gawler SA 5118",-34.60582,138.744739,Accepting New Patients. 1st Appointment Bulk Billed.,,enquiries@adelaideroadclinic.com.au,http://www.adelaideroadclinic.com.au,0,0
146,"Hindmarsh, SA",restaurants,Hindmarsh Medical Clinic,"275 Port Rd, Hindmarsh SA 5007",-34.903148,138.569663,Friendly Family Practice,,,http://www.hindmarshmedical.com.au,0,0
147,"Mt Gambier, SA",restaurants,Village Medical Centre,"Shop 2/ Buronga Ave, Mt Gambier SA 5290",-37.81223186,140.7925599,Professional Service with a Smile.,,admin@villagemedical.com.au,http://www.villagemedical.com.au,0,0
148,"Port Pirie, SA",restaurants,Terrace Clinic,"138 The Terrace, Port Pirie SA 5540",-33.17681,138.00351,AGPAL Accredited General Practice For Adults & Children,,info@terraceclinic.com.au,http://www.yourhealth.net.au/terraceclinic,0,0
149,"Adelaide, SA",restaurants,Insite Injury Management Group,"94-98 Sturt St, Adelaide SA 5000",-34.93284,138.59662,Dedicated To Maximising The Health And Safety Of People At Work.,,admin@insitegroup.com.au,http://www.insitegroup.com.au,0,0
150,"Walkerville, SA",restaurants,Calvary Rehabilitation Hospital,"18 North East Rd, Walkerville SA 5081",-34.89181,138.61149,,,lynne.simpson@calvarycare.org.au,http://www.calvaryrehabsa.org.au,0,0
151,"Eastwood, SA",restaurants,Washington Brown,"213 Greenhill Rd, Eastwood SA 5063",-34.94076,138.62111,Specialising In Tax Depreciation On Investment Properties,,info@washingtonbrown.com.au,http://www.washingtonbrown.com.au,0,0
152,"Adelaide, SA",restaurants,iStay Precinct,"185 Morphett St, Adelaide SA 5000",-34.926811,138.593387,Istay Precinct 4.5 Star Fully Self Contained Apartments,,precinct@istayhere.com.au,http://www.theoaksgroup.com.au,0,0
153,"Adelaide, SA",restaurants,Oaks Horizons,"104 North Tce, Adelaide SA 5000",-34.92214,138.59517,Oaks Horizons 4.5 Star Fully Self Contained Apartments,,horizons@theoaksgroup.com.au,http://www.theoaksgroup.com.au,4,2
154,"Adelaide, SA",restaurants,Oaks Embassy,"96 North Tce, Adelaide SA 5000",-34.921845,138.5945,Oaks Embassy 4.5 Star Fully Self Contained Apartments,,embassy@theoaksgroup.com.au,http://www.theoaksgroup.com.au,3,2
155,"Adelaide, SA",restaurants,Dr Daniel Lanzer,Adelaide SA 5000,-34.928605,138.601685,A Recognised Leader In Cosmetic Surgery,,info@drlanzer.com,http://www.drlanzer.com,0,0
156,"Glenelg, SA",restaurants,Oaks Liberty Towers,"25- 29 Colley Tce, Glenelg SA 5045",-34.977251,138.512501,Oaks Liberty 4.5 Star Fully Self Contained Apartments,,liberty@theoaksgroup.com.au,http://www.theoaksgroup.com.au,5,1
157,"Port Lincoln, SA",restaurants,Grand Tasman Hotel,"94 Tasman Tce, Port Lincoln SA 5606",-34.72161,135.86091,Great Times At The Grand Tasman Hotel.,,gthotel@internode.on.net,http://www.grandtasmanhotel.com.au,0,0
158,"Adelaide, SA",restaurants,Express Training Connections,"Suite 504  Level 5/ 38 Gawler Pl, Adelaide SA 5000",-34.922669,138.601995,Room To Hire,,info@etc-australia.com,http://www.etc-australia.com,0,0
159,"Glenelg, SA",restaurants,Oaks Plaza Pier,"16 Holdfast Prm, Glenelg SA 5045",-34.97755,138.51088,Oaks Plaza Pier 4.5 Star Fully Self Contained Apartments,,pier@theoaksgroup.com.au,http://www.theoaksgroup.com.au,3.5,2
160,"Adelaide, SA",restaurants,Bupa,Adelaide SA 5000,-34.928605,138.601685,Bupa. Find A Healthier You.,,,http://www.bupa.com.au,0,0
161,"Norwood, SA",restaurants,Bupa,"200 The Pde, Norwood SA 5067",-34.92116,138.63687,Bupa. Find A Healthier You.,,,http://www.bupa.com.au,0,0
162,"North Adelaide, SA",restaurants,North Adelaide Heritage Group,"82 Hill St, North Adelaide SA 5006",-34.907704,138.587282,"Villas, Cottages, Terrace Homes & Apartments In North Adelaide.",,res@adelaideheritage.com,http://www.adelaideheritage.com,0,0
