SN,Suburb,Category,Business Name,Address,Postcode,Latitude,Longitude,Short Description,Contact Phone,Contact Email,Website,Rating,Reviews
62,"Caroline Springs, VIC",restaurants,Slices Family Restaurant,"2 Lake St, Caroline Springs VIC 3023",3026,-37.85297,144.718267,One Of The Best Places For Quality Food & Value For Money !,(03) 8390 2359,,,0.0,0
63,"Braybrook, VIC",restaurants,Akshaya Indian Restaurant,"Shp1/ 77-79 Ashley St, Braybrook VIC 3019",3026,-37.790437,144.862211,,(03) 9689 2233,info@akshaya.com.au,http://www.akshaya.com.au,4.0,1
64,"West Footscray, VIC",restaurants,Gusto At Barkly,"587 Barkly St, West Footscray VIC 3012",3026,-37.797442,144.875227,,(03) 9396 1755,bookings@gusto-barkly.com.au,http://www.gusto-barkly.com.au,4.5,2
65,"Point Cook, VIC",restaurants,Cocochine Restaurant Point Cook,"T131, 5 Murnong St (Town Cntr), Point Cook VIC 3030",3026,-37.882695,144.73437,,(03) 9394 8628,ken@cocochinerestaurant.com.au,http://www.cocochinerestaurant.com.au,2.0,1
66,"Point Cook, VIC",restaurants,Cocochine Restaurant Point Cook,"T131, 5 Murnong St (Town Cntr), Point Cook VIC 3030",3026,-37.891542,144.745353,,(03) 9394 8628,ken@cocochinerestaurant.com.au,http://www.cocochinerestaurant.com.au,2.0,1
67,"Yarraville, VIC",restaurants,Tandoori Times Yarraville,"45 Anderson St, Yarraville VIC 3013",3026,-37.816765,144.890231,,(03) 9689 0666,,http://www.tandooritimes.com.au,4.5,3
68,"West Footscray, VIC",restaurants,Hyderabad Inn Indian Restaurant,"551 Barkly St, West Footscray VIC 3012",3026,-37.797679,144.877354,,(03) 9689 0998,,http://www.hyderabadinn.com,3.0,2
69,"Seabrook, VIC",restaurants,Dor Bo Chinese  Malaysian Restaurant,"Shp 7, 73 Point Cook Rd, Seabrook VIC 3028",3026,-37.877193,144.758471,,,bambi_2_888@hotmail.com,http://www.dorbochinesemalaysianrestaurant.com.au,0.0,0
70,"Hoppers Crossing, VIC",restaurants,Alankrita Restaurant,"1/ 22 lentini St, Hoppers Crossing VIC 3029",3026,-37.873189,144.726742,,,contact@alankrita.com.au,http://www.alankrita.com.au,0.0,0
71,"West Footscray, VIC",restaurants,Mumbai Hakka,"592 Barkly St, West Footscray VIC 3012",3026,-37.79,144.87,,0396890342,nikhil_joglekar@hotmail.com,http://mumbaihakka.com.au,0.0,0
72,"Point Cook, VIC",restaurants,China T,"Sanctuary Lakes Shopping Centre Shop 32, Point Cook Rd, Point Cook VIC 3030",3026,-37.89558,144.75329,,(03) 9395 4888,,http://www.chinat.com.au,0.0,0
73,"Point Cook, VIC",restaurants,Cocochine Restaurant Point Cook,"T131, 5 Murnong St (Town Cntr), Point Cook VIC 3030",3029,-37.891542,144.745353,Renowned Friendly Service,(03) 9394 8628,ken@cocochinerestaurant.com.au,http://www.cocochinerestaurant.com.au,2.0,1
74,"Hoppers Crossing, VIC",restaurants,Alankrita Restaurant,"1/ 22 lentini St, Hoppers Crossing VIC 3029",3029,-37.873189,144.726742,,,contact@alankrita.com.au,http://www.alankrita.com.au,0.0,0
75,"Hoppers Crossing, VIC",restaurants,Sweet India,"Fcty9/ 1 Kilmur Rd, Hoppers Crossing VIC 3029",3029,-37.873414,144.726526,,(03) 9369 6694,,,5.0,1
76,"Hoppers Crossing, VIC",restaurants,Wer2B Restaurant  Bar,"Shop 1 250 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87,144.67,,0397482377,admin@wer2b.com.au,,0.0,0
77,"Hoppers Crossing, VIC",restaurants,Golden Panda Restaurant,"35 Old Geelong Rd, Hoppers Crossing VIC 3029",3029,-37.88235,144.69989,,(03) 9748 6060,,,0.0,0
78,"Hoppers Crossing, VIC",restaurants,Elio Italian Family Bistro,"39 Old Geelong Rd, Hoppers Crossing VIC 3029",3029,-37.88222,144.69992,,(03) 9748 3132,,,0.0,0
79,"Hoppers Crossing, VIC",restaurants,The Tigers Clubhouse,"70 Old Geelong Rd, Hoppers Crossing VIC 3029",3029,-37.88048,144.70629,,(03) 9974 6900,,,0.0,0
80,"Hoppers Crossing, VIC",restaurants,Dicaprio Family Restaurants,"88 Derrimut Rd, Hoppers Crossing VIC 3029",3029,-37.88122,144.68286,,(03) 9748 2888,,,0.0,0
81,"Hoppers Crossing, VIC",restaurants,Mosaics Cafe,"Cnr Derrimut & Heaths Rds, Hoppers Crossing VIC 3029",3029,-37.877634,144.682926,,(03) 9749 6000,,,0.0,0
82,"Hoppers Crossing, VIC",restaurants,Serrano Family Restaurant,"250 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.875616,144.680616,,(03) 9748 4000,,,0.0,0
83,"Hoppers Crossing, VIC",restaurants,Mathews Pizza Inn,"5 Old Geelong Rd, Hoppers Crossing VIC 3029",3029,-37.883127,144.699555,,(03) 9749 3837,,,0.0,0
84,"Hoppers Crossing, VIC",restaurants,Subway Sandwiches  Salads,"Shop 29 Old Geelong Rd, Hoppers Crossing VIC 3029",3029,-37.881756,144.702875,,(03) 9749 5553,,,0.0,0
85,"Hoppers Crossing, VIC",restaurants,Ethnic India,"U 4/ 2 Kilmur Rd, Hoppers Crossing VIC 3029",3029,-37.872842,144.725939,,(03) 9369 4133,,,0.0,0
86,"Hoppers Crossing, VIC",restaurants,Shiraaz Ferntee Gully Indian Restaurant Pty Ltd,"19 Trentham Cl, Hoppers Crossing VIC 3029",3029,-37.862308,144.670763,,(03) 9748 9788,,,0.0,0
87,"Werribee, VIC",restaurants,Italian Sports Club Of Werribee Inc,"601 Heaths Rd, Werribee VIC 3030",3029,-37.88396,144.64783,"Functions, Weddings, Conferences, Parties, Special Events &  Bistro.",(03) 9741 1225,manager@iscw.com.au,http://www.iscw.com.au,0.0,0
88,"Laverton, VIC",restaurants,Club Laverton Motel  Licensed Club,"15 Aviation Rd, Laverton VIC 3028",3029,-37.868245,144.762243,Brand New Menu Available Seven Nights A Week From 6pm To 8pm.,(03) 8360 9143,reservations@clublaverton.com.au,http://www.clublaverton.com.au,0.0,0
89,"Werribee, VIC",restaurants,The Indian Roast,"285 Heaths Rd, Werribee VIC 3030",3029,-37.8771,144.67555,"Specialising In North Indian Cuisine, Private Functions & Birthdays.",(03) 8742 7815,dmehra@bigpond.net.au,http://www.indianroast.com.au,0.0,0
90,"Caroline Springs, VIC",restaurants,Slices Family Restaurant,"2 Lake St, Caroline Springs VIC 3023",3029,-37.85297,144.718267,One Of The Best Places For Quality Food & Value For Money !,(03) 8390 2359,,,0.0,0
91,"Werribee, VIC",restaurants,Sandyz Tadka,"Shp 6/ 57-61 Synnot St, Werribee VIC 3030",3029,-37.90425,144.660323,Indian Restaurant &Catering Services For all Occasions,(03) 9741 5292,,http://www.sandyztadka.com.au,0.0,0
92,"Point Cook, VIC",restaurants,Cocochine Restaurant Point Cook,"T131, 5 Murnong St (Town Cntr), Point Cook VIC 3030",3029,-37.882695,144.73437,,(03) 9394 8628,ken@cocochinerestaurant.com.au,http://www.cocochinerestaurant.com.au,2.0,1
93,"Point Cook, VIC",restaurants,Cocochine Restaurant Point Cook,"T131, 5 Murnong St (Town Cntr), Point Cook VIC 3030",3029,-37.891542,144.745353,,(03) 9394 8628,ken@cocochinerestaurant.com.au,http://www.cocochinerestaurant.com.au,2.0,1
94,"Werribee, VIC",restaurants,Indian Roast The,"285 Heaths Rd, Werribee VIC 3030",3029,-37.8771,144.67555,,(03) 9748 3999,dmehra@bigpond.net.au,http://www.indianroast.com.au,0.0,0
95,"Werribee, VIC",restaurants,Baffetti Ristorante eBar,"106 Watton St, Werribee VIC 3030",3029,-37.90362,144.65644,,(03) 9741 8989,info@baffetti.com.au,http://www.baffetti.com.au,0.0,0
96,"Seabrook, VIC",restaurants,Dor Bo Chinese  Malaysian Restaurant,"Shp 7, 73 Point Cook Rd, Seabrook VIC 3028",3029,-37.877193,144.758471,,,bambi_2_888@hotmail.com,http://www.dorbochinesemalaysianrestaurant.com.au,0.0,0
97,"Caroline Springs, VIC",restaurants,Izumics,"Shop15c 13-15 Ake St, Caroline Springs VIC 3023",3029,-37.74,144.73,,0383584978,info@izumics.com.au,http://www.izumics.com.au/,0.0,0
98,"Point Cook, VIC",restaurants,China T,"Sanctuary Lakes Shopping Centre Shop 32, Point Cook Rd, Point Cook VIC 3030",3029,-37.89558,144.75329,,(03) 9395 4888,,http://www.chinat.com.au,0.0,0
99,"Caroline Springs, VIC",restaurants,Slices Family Restaurant,"2 Lake St, Caroline Springs VIC 3023",3029,-37.734149,144.741548,,(03) 8390 2200,,http://www.slices.com.au,0.0,0
100,"Werribee, VIC",restaurants,Chawlas,"U3/ 49 Cherry St, Werribee VIC 3030",3029,-37.899623,144.664608,Indian Restaurant,(03) 9741 7597,,,0.0,0
101,"Werribee, VIC",restaurants,Mynt Lounge,"185 Watton St, Werribee VIC 3030",3029,-37.90404,144.65723,,(03) 9974 0833,,,2.0,1
102,"Laverton, VIC",restaurants,So N Sos Fully Licensed Restaurant  Cafe,"1 & 2/ 24 Aviation Rd, Laverton VIC 3028",3029,-37.86822,144.76112,,(03) 9369 4311,,,3.0,1
103,"Werribee, VIC",restaurants,Bikanos,"Shp 3/ 70 Watton St, Werribee VIC 3030",3029,-37.902353,144.658739,,(03) 8742 6450,,,4.0,1
104,"Point Cook, VIC",restaurants,The Brook On Sneydes,"215 Sneydes Rd, Point Cook VIC 3030",3029,-37.898159,144.729339,,(03) 9394 6444,,,4.0,1
105,"Laverton, VIC",restaurants,Fresh Chilli Thai Restaurant,"Shp 1/ 1-5 Aviation Rd, Laverton VIC 3028",3029,-37.86754,144.76206,,(03) 9369 3796,,,4.5,3
106,"Werribee, VIC",restaurants,Silver Chopsticks Chinese Restaurant,"7 Barnes Place (off Comden Grove) Werribee, Werribee VIC 3030",3029,-37.90095,144.66076,,(03) 9741 7554,,,4.5,3
107,"Deer Park, VIC",restaurants,Delicious House Restaurant,"816 Ballarat Rd, Deer Park VIC 3023",3029,-37.76957,144.77345,,(03) 9363 8808,,,3.5,3
108,"Werribee, VIC",restaurants,Silver Chopsticks Chinese Restaurant,"7 Barnes Pl, Werribee VIC 3030",3029,-37.900953,144.660755,,(03) 9741 7554,,,4.5,3
109,"Laverton, VIC",restaurants,Club Laverton Motel  Licensed Club,"15 Aviation Rd, Laverton VIC 3028",3029,-37.868245,144.762243,Family Friendly Dining. Call Us!,(03) 8360 9143,reservations@clublaverton.com.au,http://www.clublaverton.com.au,0.0,0
110,"Derrimut, VIC",doctors,Caroline Springs Medical Centre,Derrimut VIC 3030,3030,-37.797063,144.765297,"Bulk Billing - 2-6 Caroline Springs Blv, Caroline Springs",(03) 8361 8073,dralani.melbourne@yahoo.com.au,http://www.carolinespringsmedicalcentre.com.au,0.0,0
111,"Werribee, VIC",doctors,Heaths Road Family Clinic,"241 Heaths Rd, Werribee VIC 3030",3030,-37.87769,144.67992,We are focused on the comfort and convenience of our patients.,(03) 9748 9777,info@skinandcosmeticsolutionclinic.com.au,http://www.mvandc.com.au,0.0,0
112,"Werribee, VIC",doctors,Wyndham Health Care,"233 Heaths Rd, Werribee VIC 3030",3030,-37.87778,144.68077,We Strive To Provide Optimum Treatment For All Patients,(03) 9749 2766,wyndhamhealth@pacific.net.au,,0.0,0
113,"Point Cook, VIC",doctors,Lakes Healthwise,"300 Point Cook Rd, Point Cook VIC 3030",3030,-37.89558,144.75329,,(03) 9395 6333,,http://www.lakeshealthwise.com.au,0.0,0
114,"Point Cook, VIC",doctors,Riters Anita Dr,"300 Point Cook Rd, Point Cook VIC 3030",3030,-37.89558,144.75329,,(03) 9395 6333,,http://www.lakeshealthwise.com.au,0.0,0
115,"Point Cook, VIC",doctors,Caric Vladimir Dr,"Shp33/ 300 Point Cook Rd, Point Cook VIC 3030",3030,-37.89558,144.75329,,(03) 9395 6333,,http://www.lakeshealthwise.com.au,0.0,0
116,"Point Cook, VIC",doctors,Guardian Medical,"Shop 33, 300 Point Cook Rd, Point Cook VIC 3030",3030,-37.895578,144.753286,,(03) 9395 6333,,http://wwww.guardianmedical.com.au,0.0,0
117,"Werribee, VIC",doctors,MDI Radiology,"27 Princes Hwy, Werribee VIC 3030",3030,-37.89,144.66,,0397411222,,http://www.mdi.net.au,0.0,0
118,"Werribee, VIC",doctors,The Clinic Werribee,"15 Princes Hwy, Werribee VIC 3030",3030,-37.89921,144.66764,,(03) 9974 0573,,,0.0,0
119,"Werribee, VIC",doctors,Friendly Medical Centre,"83 Watton St, Werribee VIC 3030",3030,-37.902023,144.661477,,(03) 9741 0074,,,3.0,1
120,"Werribee, VIC",doctors,Vasectomy Centre Western,"241 Heaths Rd, Werribee VIC 3030",3030,-37.87769,144.67992,,(03) 9748 9819,,,0.0,0
121,"Werribee, VIC",doctors,Dr Jared Mee,"297 Princess Hwy, Werribee VIC 3030",3030,-37.885457,144.697135,,(03) 9749 7846,,,0.0,0
122,"Werribee, VIC",doctors,Barnetson W,"233 Heaths Rd, Werribee VIC 3030",3030,-37.87778,144.68077,,(03) 9749 2766,,,0.0,0
123,"Werribee, VIC",doctors,Milone Rafael,"9 Princes Hwy, Werribee VIC 3030",3030,-37.89949,144.66704,,(03) 9741 1355,,,0.0,0
124,"Werribee, VIC",doctors,Padanyi Robert G Dr,"291 Princes Hwy, Werribee VIC 3030",3030,-37.88578,144.69669,,(03) 9742 7988,,,0.0,0
125,"Werribee, VIC",doctors,Dunne K,"297 Princes Hwy, Werribee VIC 3030",3030,-37.88546,144.69713,,(03) 9741 9191,,,0.0,0
126,"Point Cook, VIC",doctors,Point Cook Medical Centre,"1 Dunnings Rd, Point Cook VIC 3030",3030,-37.88759,144.75523,,(03) 9395 3400,,,0.0,0
127,"Werribee, VIC",doctors,Miller Ashley,"179 Princes Hwy, Werribee VIC 3030",3030,-37.89061,144.68644,,(03) 9417 1811,,,0.0,0
128,"Werribee, VIC",doctors,Nagesh Ananth,"300 Princes Hwy, Werribee VIC 3030",3030,-37.886267,144.69695,,(03) 9216 8633,,,0.0,0
129,"Werribee, VIC",doctors,N Crawford Dr,"Mercy Hospital, Werribee VIC 3030",3030,-37.886267,144.69695,,(03) 9216 8633,,,0.0,0
130,"Werribee, VIC",doctors,Jacobs Rodney,"179 Princes Hwy, Werribee VIC 3030",3030,-37.89061,144.68644,,(03) 9731 8000,,,0.0,0
131,"Werribee, VIC",doctors,Burke Dr,"233 Heaths Rd, Werribee VIC 3030",3030,-37.877783,144.680772,,(03) 9749 2766,,,0.0,0
132,"Werribee, VIC",doctors,Sisifa S,"233 Heaths Rd, Werribee VIC 3030",3030,-37.877783,144.680772,,(03) 9749 2766,,,0.0,0
133,"Werribee, VIC",doctors,Athari Dr,"241 Heaths Rd, Werribee VIC 3030",3030,-37.87769,144.67992,,(03) 9748 9777,,,0.0,0
134,"Werribee, VIC",doctors,Bradley M F,"1 Pine Ave, Werribee VIC 3030",3030,-37.90286,144.66242,,(03) 9741 9511,,,0.0,0
135,"Werribee, VIC",doctors,Werribee The Clinic,"15 Princes Hwy, Werribee VIC 3030",3030,-37.89921,144.66764,,(03) 9741 1200,,,0.0,0
136,"Werribee, VIC",doctors,Princes Highway Medical Centre,"9 Princes Hwy, Werribee VIC 3030",3030,-37.89949,144.66704,,(03) 9741 1355,,,0.0,0
137,"Werribee, VIC",doctors,Supercare Family Medical Centres Group,"6b Watton St, Werribee VIC 3030",3030,-37.9001,144.66268,,(03) 9742 6288,,,0.0,0
138,"Werribee, VIC",doctors,Werribee Mercy Hospital Consulting Suite,"300 Princess Hwy, Werribee VIC 3030",3030,-37.886267,144.69695,,(03) 9216 8633,,,0.0,0
139,"Werribee, VIC",doctors,Popa Dean Dr,"13 Synnot St, Werribee VIC 3030",3030,-37.90119,144.6656,,(03) 9741 2033,,,0.0,0
